"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","tav_profit","tavp_wosp"
"259","Northern","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"260","Northern","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"261","Northern","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"262","Northern","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"263","Northern","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"264","Northern","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"265","Northern","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"266","Northern","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"267","Northern","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"268","Northern","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"269","Northern","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"270","Northern","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"271","Northern","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"272","Northern","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"273","Northern","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
