"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wocp"
"210","Central","Fixed",0.15,118,0.01,4,6.4,3525.15003,1.9,5842.5,-4123.02214848989,311.02282151011
"211","Central","Fixed",0.15,118,0.01,5,6.4,6983.94003,1.7,5227.5,-664.232148489892,694.812821510107
"212","Central","Fixed",0.15,118,0.01,6,6.4,10712.08503,1.6,4920,3063.91285151011,1347.95782151011
"213","Central","Fixed",0.15,118,0.01,7,6.4,13825.23003,1.5,4612.5,6177.05785151011,1386.10282151011
"214","Central","Fixed",0.15,118,0.01,8,6.4,16323.37503,1.4,4305,8675.20285151011,809.247821510107
"215","Central","Fixed",0.15,118,0.01,9,6.4,20628.37503,1.4,4305,12980.2028515101,2039.24782151011
"216","Central","Fixed",0.15,118,0.01,5,8.2,9367.65003,1.9,5842.5,-470.739362368349,888.30560763165
"217","Central","Fixed",0.15,118,0.01,6,8.2,12211.44003,1.7,5227.5,2373.05063763165,657.095607631647
"218","Central","Fixed",0.15,118,0.01,7,8.2,15632.08503,1.6,4920,5793.69563763165,1002.74060763165
"219","Central","Fixed",0.15,118,0.01,8,8.2,18437.73003,1.5,4612.5,8599.34063763165,733.385607631648
"220","Central","Fixed",0.15,118,0.01,9,8.2,23050.23003,1.5,4612.5,13211.8406376316,2270.88560763165
"221","Central","Tracking",0.15,118,0.01,4,4.6,2640.79503,1.8,5535,-4350.79268678332,83.2522832166769
"222","Central","Tracking",0.15,118,0.01,5,4.6,5792.08503,1.6,4920,-1199.50268678332,159.542283216678
"223","Central","Tracking",0.15,118,0.01,6,4.6,9212.73003,1.5,4612.5,2221.14231321668,505.187283216678
"224","Central","Tracking",0.15,118,0.01,7,4.6,12018.37503,1.4,4305,5026.78731321668,235.832283216679
"225","Central","Tracking",0.15,118,0.01,8,4.6,16323.37503,1.4,4305,9331.78731321668,1465.83228321668
"226","Central","Tracking",0.15,118,0.01,9,4.6,18206.52003,1.3,3997.5,11214.9323132167,273.977283216675
"227","Central","Tracking",0.15,118,0.01,4,6.4,3525.15003,1.9,5842.5,-4325.79374639535,108.251223604645
"228","Central","Tracking",0.15,118,0.01,5,6.4,6983.94003,1.7,5227.5,-867.003746395357,492.041223604642
"229","Central","Tracking",0.15,118,0.01,6,6.4,10712.08503,1.6,4920,2861.14125360464,1145.18622360464
"230","Central","Tracking",0.15,118,0.01,7,6.4,13825.23003,1.5,4612.5,5974.28625360464,1183.33122360464
"231","Central","Tracking",0.15,118,0.01,8,6.4,16323.37503,1.4,4305,8472.43125360465,606.476223604644
"232","Central","Tracking",0.15,118,0.01,9,6.4,20628.37503,1.4,4305,12777.4312536046,1836.47622360464
"233","Central","Tracking",0.15,118,0.01,4,8.2,4409.50503,2,6150,-4300.79480600739,133.250163992607
"234","Central","Tracking",0.15,118,0.01,5,8.2,8175.79503,1.8,5535,-534.504806007391,824.540163992608
"235","Central","Tracking",0.15,118,0.01,6,8.2,10712.08503,1.6,4920,2001.78519399261,285.830163992609
