"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.02_11_1.5_Central",6800.37,6800.37,6800.37,6800.37,6800.37,6800.37,9140.46,9138.91,9136.03,9504.15,9503.02,9501.89,12259.32,12255.72,12248.99,13108.47,13105.83,13103.18,15378.82,15373.16,15362.58,16713.02,16708.87,16704.72,18498.28,18490.57,18476.13,20317.57,20311.91,20306.25
"0.03_11_1.5_Central",6800.37,6800.37,6800.37,6800.37,6800.37,6800.37,10315.29,10313.75,10310.86,10861.26,10860.13,10858.99,14999.98,14996.38,14989.64,16274.68,16272.04,16269.39,19685.61,19679.95,19669.37,21688.46,21684.3,21680.15,24371.19,24363.48,24349.04,27102.23,27096.57,27090.91
"0.04_11_1.5_Central",6800.37,6800.37,6800.37,6800.37,6800.37,6800.37,11490.13,11488.58,11485.7,12218.36,12217.23,12216.1,17740.63,17737.03,17730.3,19440.89,19438.25,19435.6,23992.4,23986.74,23976.16,26663.89,26659.74,26655.59,30244.1,30236.39,30221.95,33886.89,33881.23,33875.57
"0.02_14_1.5_Central",11705.37,11705.37,11705.37,11705.37,11705.37,11705.37,14045.46,14043.91,14041.03,14409.15,14408.02,14406.89,17164.32,17160.72,17153.99,18013.47,18010.83,18008.18,20283.82,20278.16,20267.58,21618.02,21613.87,21609.72,23403.28,23395.57,23381.13,25222.57,25216.91,25211.25
"0.03_14_1.5_Central",11705.37,11705.37,11705.37,11705.37,11705.37,11705.37,15220.29,15218.75,15215.86,15766.26,15765.13,15763.99,19904.98,19901.38,19894.64,21179.68,21177.04,21174.39,24590.61,24584.95,24574.37,26593.46,26589.3,26585.15,29276.19,29268.48,29254.04,32007.23,32001.57,31995.91
"0.04_14_1.5_Central",11705.37,11705.37,11705.37,11705.37,11705.37,11705.37,16395.13,16393.58,16390.7,17123.36,17122.23,17121.1,22645.63,22642.03,22635.3,24345.89,24343.25,24340.6,28897.4,28891.74,28881.16,31568.89,31564.74,31560.59,35149.1,35141.39,35126.95,38791.89,38786.23,38780.57
"0.02_17_1.5_Central",16610.37,16610.37,16610.37,16610.37,16610.37,16610.37,18950.46,18948.91,18946.03,19314.15,19313.02,19311.89,22069.32,22065.72,22058.99,22918.47,22915.83,22913.18,25188.82,25183.16,25172.58,26523.02,26518.87,26514.72,28308.28,28300.57,28286.13,30127.57,30121.91,30116.25
"0.03_17_1.5_Central",16610.37,16610.37,16610.37,16610.37,16610.37,16610.37,20125.29,20123.75,20120.86,20671.26,20670.13,20668.99,24809.98,24806.38,24799.64,26084.68,26082.04,26079.39,29495.61,29489.95,29479.37,31498.46,31494.3,31490.15,34181.19,34173.48,34159.04,36912.23,36906.57,36900.91
"0.04_17_1.5_Central",16610.37,16610.37,16610.37,16610.37,16610.37,16610.37,21300.13,21298.58,21295.7,22028.36,22027.23,22026.1,27550.63,27547.03,27540.3,29250.89,29248.25,29245.6,33802.4,33796.74,33786.16,36473.89,36469.74,36465.59,40054.1,40046.39,40031.95,43696.89,43691.23,43685.57
"0.02_11_1.8_Central",8905.62,8905.62,8905.62,8905.62,8905.62,8905.62,11245.71,11244.16,11241.28,11609.4,11608.27,11607.14,14364.57,14360.97,14354.24,15213.72,15211.08,15208.43,17484.07,17478.41,17467.83,18818.27,18814.12,18809.97,20603.53,20595.82,20581.38,22422.82,22417.16,22411.5
